det_fecha_hora,epi,mag,int_max,emis_fecha_hora,href,det_fecha_hora_local,lat_0,lon_0,prof_epi,id,prof_epi_nro,lat,lon
2023-06-09 10:48:00,"Región Noto, Prefectura de Ishikawa",3.3,2,2023-06-09 10:50:00,https://www.data.jma.go.jp/multi/quake/quake_detail.html?eventID=20230609225048&lang=es,2023-06-09 22:48:00,37.5N,137.2E,10km,20230609225048,10.0,37.5,137.2
2023-06-09 08:45:00,Alta mar de Península de Noto,3.8,3,2023-06-09 08:49:00,https://www.data.jma.go.jp/multi/quake/quake_detail.html?eventID=20230609204928&lang=es,2023-06-09 20:45:00,37.5N,137.4E,10km,20230609204928,10.0,37.5,137.4
2023-06-08 20:35:00,Mares cercanos de Islas de Amamioshima,3.7,1,2023-06-08 20:39:00,https://www.data.jma.go.jp/multi/quake/quake_detail.html?eventID=20230609083925&lang=es,2023-06-09 08:35:00,28.7N,129.4E,70km,20230609083925,70.0,28.7,129.4
2023-06-08 18:21:00,Alta mar oeste de Península de Satsuma,4.6,1,2023-06-08 18:25:00,https://www.data.jma.go.jp/multi/quake/quake_detail.html?eventID=20230609062550&lang=es,2023-06-09 06:21:00,31.2N,130.3E,190km,20230609062550,190.0,31.2,130.3
2023-06-08 17:11:00,"Región Noto, Prefectura de Ishikawa",2.5,1,2023-06-08 17:14:00,https://www.data.jma.go.jp/multi/quake/quake_detail.html?eventID=20230609051411&lang=es,2023-06-09 05:11:00,37.5N,137.3E,10km,20230609051411,10.0,37.5,137.3
2023-06-08 13:43:00,Norte de Prefectura de Wakayama,3.0,1,2023-06-08 13:46:00,https://www.data.jma.go.jp/multi/quake/quake_detail.html?eventID=20230609014655&lang=es,2023-06-09 01:43:00,34.0N,135.5E,50km,20230609014655,50.0,34.0,135.5
2023-06-08 09:49:00,Alta mar de Península de Noto,3.2,1,2023-06-08 09:52:00,https://www.data.jma.go.jp/multi/quake/quake_detail.html?eventID=20230608215240&lang=es,2023-06-08 21:49:00,37.6N,137.3E,10km,20230608215240,10.0,37.6,137.3
2023-06-08 09:37:00,Alta mar este de Prefectura de Chiba,3.0,1,2023-06-08 09:40:00,https://www.data.jma.go.jp/multi/quake/quake_detail.html?eventID=20230608214058&lang=es,2023-06-08 21:37:00,35.6N,140.7E,40km,20230608214058,40.0,35.6,140.7
2023-06-08 07:34:00,Alta mar de Prefectura de Fukushima,4.1,2,2023-06-08 07:37:00,https://www.data.jma.go.jp/multi/quake/quake_detail.html?eventID=20230608193751&lang=es,2023-06-08 19:34:00,37.7N,141.7E,70km,20230608193751,70.0,37.7,141.7
2023-06-08 06:02:00,"Región Kumamoto, Prefectura de Kumamoto",2.1,1,2023-06-08 06:06:00,https://www.data.jma.go.jp/multi/quake/quake_detail.html?eventID=20230608180620&lang=es,2023-06-08 18:02:00,32.5N,130.6E,10km,20230608180620,10.0,32.5,130.6
2023-06-07 16:54:00,Norte de Prefectura de Ibaraki,3.6,2,2023-06-07 16:57:00,https://www.data.jma.go.jp/multi/quake/quake_detail.html?eventID=20230608045746&lang=es,2023-06-08 04:54:00,36.5N,140.5E,60km,20230608045746,60.0,36.5,140.5
2023-06-07 06:43:00,Mares cercanos de Islas Tokara,2.5,1,2023-06-07 06:46:00,https://www.data.jma.go.jp/multi/quake/quake_detail.html?eventID=20230607184637&lang=es,2023-06-07 18:43:00,29.9N,130.0E,10km,20230607184637,10.0,29.9,130.0
2023-06-07 04:50:00,Mares cercanos de Islas Tokara,2.2,1,2023-06-07 04:53:00,https://www.data.jma.go.jp/multi/quake/quake_detail.html?eventID=20230607165331&lang=es,2023-06-07 16:50:00,29.9N,130.1E,10km,20230607165331,10.0,29.9,130.1
2023-06-06 19:46:00,Mares cercanos de Islas Tokara,2.0,1,2023-06-06 19:49:00,https://www.data.jma.go.jp/multi/quake/quake_detail.html?eventID=20230607074944&lang=es,2023-06-07 07:46:00,29.9N,129.9E,10km,20230607074944,10.0,29.9,129.9
2023-06-06 09:17:00,Mares cercanos de Islas Tokara,2.5,2,2023-06-06 09:20:00,https://www.data.jma.go.jp/multi/quake/quake_detail.html?eventID=20230606212031&lang=es,2023-06-06 21:17:00,30.0N,130.0E,10km,20230606212031,10.0,30.0,130.0
2023-06-06 06:17:00,"Región Hida, Prefectura de Gifu",3.0,1,2023-06-06 06:20:00,https://www.data.jma.go.jp/multi/quake/quake_detail.html?eventID=20230606182044&lang=es,2023-06-06 18:17:00,36.1N,137.3E,10km,20230606182044,10.0,36.1,137.3
2023-06-05 22:26:00,Interior sur de Prefectura de Akita,2.7,2,2023-06-05 22:28:00,https://www.data.jma.go.jp/multi/quake/quake_detail.html?eventID=20230606102857&lang=es,2023-06-06 10:26:00,39.6N,140.6E,20km,20230606102857,20.0,39.6,140.6
2023-06-05 19:18:00,Mares cercanos de Islas Tokara,2.5,1,2023-06-05 19:21:00,https://www.data.jma.go.jp/multi/quake/quake_detail.html?eventID=20230606072112&lang=es,2023-06-06 07:18:00,30.0N,130.0E,10km,20230606072112,10.0,30.0,130.0
2023-06-05 18:25:00,Norte de Prefectura de Ibaraki,3.8,2,2023-06-05 18:28:00,https://www.data.jma.go.jp/multi/quake/quake_detail.html?eventID=20230606062801&lang=es,2023-06-06 06:25:00,36.8N,140.6E,10km,20230606062801,10.0,36.8,140.6
